Sample,Original_Nodes,Reconstructed_Nodes,Node_Diff,Perfect_Preservation,Embedding_Dim
5743,71,71,0,True,64
5795,57,57,0,True,64
5798,64,64,0,True,64
5799,24,24,0,True,64
5823,46,46,0,True,64
5829,54,54,0,True,64
5840,39,39,0,True,64
5852,12,12,0,True,64
5889,25,25,0,True,64
5893,56,56,0,True,64
5910,23,23,0,True,64
5918,13,13,0,True,64
5930,25,25,0,True,64
5934,25,25,0,True,64
5944,18,18,0,True,64
5964,25,25,0,True,64
5983,12,12,0,True,64
5984,22,22,0,True,64
5985,13,13,0,True,64
5992,57,57,0,True,64
5993,53,53,0,True,64
6001,87,87,0,True,64
6013,50,50,0,True,64
6034,25,25,0,True,64
6048,12,12,0,True,64
6051,54,54,0,True,64
6071,15,15,0,True,64
6076,22,22,0,True,64
6076,22,22,0,True,64
6086,12,12,0,True,64
6095,73,73,0,True,64
6126,79,79,0,True,64
6135,11,11,0,True,64
6153,50,50,0,True,64
6161,22,22,0,True,64
6167,18,18,0,True,64
6188,18,18,0,True,64
6202,69,69,0,True,64
6212,25,25,0,True,64
6219,25,25,0,True,64
6222,51,51,0,True,64
6242,56,56,0,True,64
6260,25,25,0,True,64
6262,45,45,0,True,64
6269,25,25,0,True,64
6283,25,25,0,True,64
6292,115,115,0,True,64
6298,24,24,0,True,64
6306,27,27,0,True,64
6317,65,65,0,True,64
6326,11,11,0,True,64
6335,32,32,0,True,64
6350,19,19,0,True,64
6356,10,10,0,True,64
6367,12,12,0,True,64
6376,15,15,0,True,64
6384,15,15,0,True,64
6389,48,48,0,True,64
6398,72,72,0,True,64
6413,34,34,0,True,64
6442,25,25,0,True,64
6444,38,38,0,True,64
6499,16,16,0,True,64
6523,25,25,0,True,64
6531,33,33,0,True,64
6552,22,22,0,True,64
6559,21,21,0,True,64
6561,30,30,0,True,64
6566,28,28,0,True,64
6579,13,13,0,True,64
6583,22,22,0,True,64
6587,91,91,0,True,64
6619,28,28,0,True,64
6621,23,23,0,True,64
6623,35,35,0,True,64
6625,25,25,0,True,64
6633,57,57,0,True,64
6638,20,20,0,True,64
6645,16,16,0,True,64
6650,25,25,0,True,64
6662,25,25,0,True,64
6672,124,124,0,True,64
6689,16,16,0,True,64
6714,29,29,0,True,64
6722,25,25,0,True,64
6734,8,8,0,True,64
6748,75,75,0,True,64
6775,23,23,0,True,64
6782,24,24,0,True,64
6797,58,58,0,True,64
6803,49,49,0,True,64
6804,22,22,0,True,64
6836,25,25,0,True,64
6837,22,22,0,True,64
6839,23,23,0,True,64
6878,115,115,0,True,64
6890,38,38,0,True,64
6895,22,22,0,True,64
6896,25,25,0,True,64
6912,12,12,0,True,64
6919,29,29,0,True,64
6934,28,28,0,True,64
6962,18,18,0,True,64
6977,46,46,0,True,64
6980,15,15,0,True,64
6996,22,22,0,True,64
7030,55,55,0,True,64
7037,22,22,0,True,64
7057,31,31,0,True,64
7105,174,174,0,True,64
7109,12,12,0,True,64
7114,24,24,0,True,64
7160,91,91,0,True,64
7162,22,22,0,True,64
7195,59,59,0,True,64
7206,12,12,0,True,64
7223,21,21,0,True,64
7224,25,25,0,True,64
7245,97,97,0,True,64
7247,25,25,0,True,64
7251,25,25,0,True,64
7254,10,10,0,True,64
7259,166,166,0,True,64
7275,86,86,0,True,64
7279,185,185,0,True,64
7313,22,22,0,True,64
7342,35,35,0,True,64
7343,75,75,0,True,64
7361,73,73,0,True,64
7390,41,41,0,True,64
7394,19,19,0,True,64
7420,113,113,0,True,64
7424,23,23,0,True,64
7438,63,63,0,True,64
7445,33,33,0,True,64
7447,111,111,0,True,64
7452,23,23,0,True,64
7465,27,27,0,True,64
7466,66,66,0,True,64
7467,33,33,0,True,64
7475,12,12,0,True,64
7493,18,18,0,True,64
7497,17,17,0,True,64
7516,39,39,0,True,64
7525,25,25,0,True,64
7526,31,31,0,True,64
7531,49,49,0,True,64
7536,69,69,0,True,64
7554,14,14,0,True,64
7609,83,83,0,True,64
7619,39,39,0,True,64
7633,25,25,0,True,64
7662,35,35,0,True,64
7666,57,57,0,True,64
7682,33,33,0,True,64
